title,Avg_salary,State,job_category,salary_year
Kingland Systems ,$9.80 per hour,US,Data Analyst,"$20,452.60 "
Advancement LLC ,$13.29 per hour,US,Data Analyst,"$27,736.23 "
First Data ,$19.18 per hour,US,Data Analyst,"$40,028.66 "
Experis ,$33.21 per hour,US,Data Analyst,"$69,309.27 "
Collabera ,$49.75 per hour,US,Data Analyst,"$103,828.25 "
Tech Mahindra ,$26.78 per hour,US,Data Analyst,"$55,889.86 "
Intel ,$32.85 per hour,US,Data Analyst,"$68,557.95 "
Freddie Mac ,$47.17 per hour,US,Data Analyst,"$98,443.79 "
Salesforce ,$28.03 per hour,US,Data Analyst,"$58,498.61 "
Ettain Group ,$37.85 per hour,US,Data Analyst,"$78,992.95 "
Manpower ,$23.29 per hour,US,Data Analyst,"$48,606.23 "
Southwest Airlines ,$15.63 per hour,US,Data Analyst,"$32,619.81 "
ACS ,$28.89 per hour,US,Data Analyst,"$60,293.43 "
Intermountain Healthcare ,$24.41 per hour,US,Data Analyst,"$50,943.67 "
Rutgers University ,$21.91 per hour,US,Data Analyst,"$45,726.17 "
Signature Consultants ,$40.57 per hour,US,Data Analyst,"$84,669.59 "
SGS ,$29.61 per hour,US,Data Analyst,"$61,796.07 "
Spherion ,$16.28 per hour,US,Data Analyst,"$33,976.36 "
FSA ,$21.82 per hour,US,Data Analyst,"$45,538.34 "
Aquent ,$24.05 per hour,US,Data Analyst,"$50,192.35 "
ESPN ,$35.00 per hour,US,Data Analyst,"$73,045.00 "
Inktel ,$13.11 per hour,US,Data Analyst,"$27,360.57 "
ADP ,$42.29 per hour,US,Data Analyst,"$88,259.23 "
Industrial Data Associates ,$28.76 per hour,US,Data Analyst,"$60,022.12 "
Acro Service Corporation ,$24.72 per hour,US,Data Analyst,"$51,590.64 "
Tetra Tech ,$18.11 per hour,US,Data Analyst,"$37,795.57 "
APEX ,$23.44 per hour,US,Data Analyst,"$48,919.28 "
CTG ,$26.37 per hour,US,Data Analyst,"$55,034.19 "
Tailored Management ,$24.89 per hour,US,Data Analyst,"$51,945.43 "
BCforward ,$28.24 per hour,US,Data Analyst,"$58,936.88 "
nextSource ,$32.25 per hour,US,Data Analyst,"$67,305.75 "
Artech Information Systems L.L.C. ,$27.42 per hour,US,Data Analyst,"$57,225.54 "
ACA Compliance Group ,$20.88 per hour,US,Data Analyst,"$43,576.56 "
University of Florida ,$13.17 per hour,US,Data Analyst,"$27,485.79 "
University Of Washington ,$23.01 per hour,US,Data Analyst,"$48,021.87 "
TD Bank ,$56.56 per hour,US,Data Analyst,"$118,040.72 "
Allergan ,$23.14 per hour,US,Data Analyst,"$48,293.18 "
Accountemps ,$18.04 per hour,US,Data Analyst,"$37,649.48 "
TRAX International ,$21.72 per hour,US,Data Analyst,"$45,329.64 "
Ajilon ,$18.64 per hour,US,Data Analyst,"$38,901.68 "
Accounting Principals ,$24.63 per hour,US,Data Analyst,"$51,402.81 "
The University of California ,$28.88 per hour,US,Data Analyst,"$60,272.56 "
Brooksource ,$40.75 per hour,US,Data Analyst,"$85,045.25 "
"ICONMA, LLC. ",$23.45 per hour,US,Data Analyst,"$48,940.15 "
MATRIX Resources ,$42.77 per hour,US,Data Analyst,"$89,260.99 "
CornerStone Staffing ,$17.53 per hour,US,Data Analyst,"$36,585.11 "
Compunnel Software Group ,$25.61 per hour,US,Data Analyst,"$53,448.07 "
Select Staffing ,$14.77 per hour,US,Data Analyst,"$30,824.99 "
Chipton Ross ,$22.03 per hour,US,Data Analyst,"$45,976.61 "
"DIVERSANT, LLC ",$44.94 per hour,US,Data Analyst,"$93,789.78 "
Recruiting Solutions ,$16.47 per hour,US,Data Analyst,"$34,372.89 "
The Nagler Group ,$14.38 per hour,US,Data Analyst,"$30,011.06 "
Providence Partners and Associates ,$26.36 per hour,US,Data Analyst,"$55,013.32 "
CRG Workforce ,$44.69 per hour,US,Data Analyst,"$93,268.03 "
Objectwin Technology Inc ,$30.73 per hour,US,Data Analyst,"$64,133.51 "
Providence Partners ,$29.10 per hour,US,Data Analyst,"$60,731.70 "
PeaceHealth ,$20.86 per hour,US,Data Analyst,"$43,534.82 "
Discover Financial Services ,$18.50 per hour,US,Data Analyst,"$38,609.50 "
Montana State University ,$16.32 per hour,US,Data Analyst,"$34,059.84 "
Sherpa LLC ,$26.87 per hour,US,Data Analyst,"$56,077.69 "
"Digital Intelligence Systems, LLC ",$37.96 per hour,US,Data Analyst,"$79,222.52 "
"TalentBurst, Inc ",$20.42 per hour,US,Data Analyst,"$42,616.54 "
The Midtown Group ,$17.35 per hour,US,Data Analyst,"$36,209.45 "
Strategic Insight ,$19.23 per hour,US,Data Analyst,"$40,133.01 "
"Project Resources Group, Inc ",$25.47 per hour,US,Data Analyst,"$53,155.89 "
McKinsey & Company ,$45.16 per hour,US,Data Analyst,"$94,248.92 "
Datamatics Global Services Ltd ,$28.56 per hour,US,Data Analyst,"$59,604.72 "
Interpublic Group ,$14.00 per hour,US,Data Analyst,"$29,218.00 "
BrightScope ,$15.52 per hour,US,Data Analyst,"$32,390.24 "
Middlebury College ,$17.82 per hour,US,Data Analyst,"$37,190.34 "
Verity Recruiting ,$20.03 per hour,US,Data Analyst,"$41,802.61 "
University Enterprises Inc ,$14.51 per hour,US,Data Analyst,"$30,282.37 "
Ascent Services Group ,$23.65 per hour,US,Data Analyst,"$49,357.55 "
Fontana Unified School District ,$22.98 per hour,US,Data Analyst,"$47,959.26 "
Auditrax ,$40.00 per hour,US,Data Analyst,"$83,480.00 "
Integrity Staffing Solutions ,$21.48 per hour,US,Data Analyst,"$44,828.76 "
Humanix ,$12.00 per hour,US,Data Analyst,"$25,044.00 "
Compri ,$33.62 per hour,US,Data Analyst,"$70,164.94 "
Computer Resource Solutions ,$32.96 per hour,US,Data Analyst,"$68,787.52 "
Yoh ,$27.01 per hour,US,Data Analyst,"$56,369.87 "
Icon Information Consultants ,$47.23 per hour,US,Data Analyst,"$98,569.01 "
Harbor Health Services ,$15.50 per hour,US,Data Analyst,"$32,348.50 "
Robert Half Management Resources ,$40.83 per hour,US,Data Analyst,"$85,212.21 "
Huxley Associates ,$45.11 per hour,US,Data Analyst,"$94,144.57 "
Strategic Staffing Solutions ,$42.00 per hour,US,Data Analyst,"$87,654.00 "
"CorTech, LLC ",$26.36 per hour,US,Data Analyst,"$55,013.32 "
Pactera Technologies ,$14.08 per hour,US,Data Analyst,"$29,384.96 "
The CSI Companies ,$28.45 per hour,US,Data Analyst,"$59,375.15 "
OfficeTeam ,$15.50 per hour,US,Data Analyst,"$32,348.50 "
"Common Sense Industries, Inc. ",$16.97 per hour,US,Data Analyst,"$35,416.39 "
Alliance IT ,$55.15 per hour,US,Data Analyst,"$115,098.05 "
Select Source International ,$33.94 per hour,US,Data Analyst,"$70,832.78 "
Swoon Group ,$29.53 per hour,US,Data Analyst,"$61,629.11 "
"Global Channel Management, Inc. ",$33.84 per hour,US,Data Analyst,"$70,624.08 "
The Insource Group ,$19.14 per hour,US,Data Analyst,"$39,945.18 "
Hire Talent ,$39.07 per hour,US,Data Analyst,"$81,539.09 "
IDC Technologies ,$59.01 per hour,US,Data Analyst,"$123,153.87 "
Crossroads ,$18.31 per hour,US,Data Analyst,"$38,212.97 "
"Chandra Technologies, Inc. ",$53.55 per hour,US,Data Analyst,"$111,758.85 "
MW Partners ,$34.57 per hour,US,Data Analyst,"$72,147.59 "
Softpath System LLC ,$21.91 per hour,US,Data Analyst,"$45,726.17 "
RGBSI ,$37.84 per hour,US,Data Analyst,"$78,972.08 "
Omega Solutions Inc ,$27.42 per hour,US,Data Analyst,"$57,225.54 "
The Right Staff ,$17.32 per hour,US,Data Analyst,"$36,146.84 "
Select Source International Pvt Ltd ,$36.86 per hour,US,Data Analyst,"$76,926.82 "
TRC Staffing ,$40.00 per hour,US,Data Analyst,"$83,480.00 "
ApTask ,$35.33 per hour,US,Data Analyst,"$73,733.71 "
ektello ,$37.62 per hour,US,Data Analyst,"$78,512.94 "
Controls & Automation Consultants LLC ,$17.60 per hour,US,Data Analyst,"$36,731.20 "
Skilled Talent ,$22.04 per hour,US,Data Analyst,"$45,997.48 "
Eastridge Workforce Solutions ,$32.08 per hour,US,Data Analyst,"$66,950.96 "
"The Brixton Group, Inc. ",$33.63 per hour,US,Data Analyst,"$70,185.81 "
Software Specialists ,$25.23 per hour,US,Data Analyst,"$52,655.01 "
"TekPartners, A P2P Staffing Company ",$45.25 per hour,US,Data Analyst,"$94,436.75 "
CDI Corporation ,$33.32 per hour,US,Data Analyst,"$69,538.84 "
The Ashlar Group ,$42.58 per hour,US,Data Analyst,"$88,864.46 "
"CALIFORNIA CREATIVE SOLUTIONS, INC. ",$31.91 per hour,US,Data Analyst,"$66,596.17 "
IT PROS ,$15.00 per hour,US,Data Analyst,"$31,305.00 "
Leddy Group ,$13.96 per hour,US,Data Analyst,"$29,134.52 "
Ohio State University ,$20.92 per hour,US,Data Analyst,"$43,660.04 "
TekPartners ,$44.60 per hour,US,Data Analyst,"$93,080.20 "
Cor-Tech LLC ,$27.60 per hour,US,Data Analyst,"$57,601.20 "
Crossroads Staffing ,$22.36 per hour,US,Data Analyst,"$46,665.32 "
Populus Group ,$31.52 per hour,US,Data Analyst,"$65,782.24 "
Plycon Limited ,$23.50 per hour,US,Data Analyst,"$49,044.50 "
The Partners Group ,$24.00 per hour,US,Data Analyst,"$50,088.00 "
DISYS ,$31.65 per hour,US,Data Analyst,"$66,053.55 "
System One ,$29.21 per hour,US,Data Analyst,"$60,961.27 "
ACT-Consulting ,$41.73 per hour,US,Data Analyst,"$87,090.51 "
Contemporary Staffing Solutions ,$16.17 per hour,US,Data Analyst,"$33,746.79 "
inSync Staffing ,$28.76 per hour,US,Data Analyst,"$60,022.12 "
Tech Talenta ,$36.30 per hour,US,Data Analyst,"$75,758.10 "
DSM Staff Network ,$27.99 per hour,US,Data Analyst,"$58,415.13 "
Strategic IT Staffing ,$24.69 per hour,US,Data Analyst,"$51,528.03 "
The Norland Group ,$26.73 per hour,US,Data Analyst,"$55,785.51 "
"Mountain, Ltd ",$31.65 per hour,US,Data Analyst,"$66,053.55 "
Global Technology Associates ,$31.53 per hour,US,Data Analyst,"$65,803.11 "
Advanced Technology Solutions ,$25.49 per hour,US,Data Analyst,"$53,197.63 "
Eclaro ,$40.33 per hour,US,Data Analyst,"$84,168.71 "
The Intersect Group ,$29.02 per hour,US,Data Analyst,"$60,564.74 "
"APR Consulting, Inc. ",$27.30 per hour,US,Data Analyst,"$56,975.10 "
Impact Business Group ,$30.93 per hour,US,Data Analyst,"$64,550.91 "
Astyra Corporation ,$38.58 per hour,US,Data Analyst,"$80,516.46 "
The Bartech Group ,$44.00 per hour,US,Data Analyst,"$91,828.00 "
Decton Staffing Services ,$23.22 per hour,US,Data Analyst,"$48,460.14 "
iBizTek Solutions ,$36.89 per hour,US,Data Analyst,"$76,989.43 "
Nelson Staffing ,$28.67 per hour,US,Data Analyst,"$59,834.29 "
Zeva Technology ,$26.33 per hour,US,Data Analyst,"$54,950.71 "
"Elite Tek Services, Inc. ",$18.31 per hour,US,Data Analyst,"$38,212.97 "
Futran Solutions ,$45.00 per hour,US,Data Analyst,"$93,915.00 "
"SVMT Inc., ",$23.40 per hour,US,Data Analyst,"$48,835.80 "
NMS Consulting Group ,$59.02 per hour,US,Data Analyst,"$123,174.74 "
Make Corporation ,$25.92 per hour,US,Data Analyst,"$54,095.04 "
Advantage xPO ,$26.00 per hour,US,Data Analyst,"$54,262.00 "
AVISPA LLC ,$30.69 per hour,US,Data Analyst,"$64,050.03 "
Infotek Consulting Services Inc. ,$43.94 per hour,US,Data Analyst,"$91,702.78 "
Revolution Technologies ,$35.26 per hour,US,Data Analyst,"$73,587.62 "
Peoplentech LLC ,$17.46 per hour,US,Data Analyst,"$36,439.02 "
Calsoft Labs ,$46.07 per hour,US,Data Analyst,"$96,148.09 "
ACT 1 ,$15.63 per hour,US,Data Analyst,"$32,619.81 "
Aditi Staffing ,$61.75 per hour,US,Data Analyst,"$128,872.25 "
"Amkor Technology, Inc. ",$19.15 per hour,US,Data Analyst,"$39,966.05 "
US Tech Solutions Inc. ,$85.00 per hour,US,Data Analyst,"$177,395.00 "
Michael Page US ,$24.76 per hour,US,Data Analyst,"$51,674.12 "
Technocraft Solutions ,$18.57 per hour,US,Data Analyst,"$38,755.59 "
SGS Consulting ,$20.40 per hour,US,Data Analyst,"$42,574.80 "
Nesco Resource Salt Lake City ,$11.96 per hour,US,Data Analyst,"$24,960.52 "
Eliassen Group ,$44.76 per hour,US,Data Analyst,"$93,414.12 "
Thinkfind Corporation ,$52.68 per hour,US,Data Analyst,"$109,943.16 "
Horizon Consulting Inc ,$49.75 per hour,US,Data Analyst,"$103,828.25 "
Hawkins Personnel Group ,$15.23 per hour,US,Data Analyst,"$31,785.01 "
Tekwissen ,$29.33 per hour,US,Data Analyst,"$61,211.71 "
Superior Group ,$21.82 per hour,US,Data Analyst,"$45,538.34 "
ConsultNet ,$35.41 per hour,US,Data Analyst,"$73,900.67 "
RemX Specialty Staffing ,$25.71 per hour,US,Data Analyst,"$53,656.77 "
The Bachrach Group ,$18.25 per hour,US,Data Analyst,"$38,087.75 "
"ATR International, Inc. ",$15.89 per hour,US,Data Analyst,"$33,162.43 "
State of Michigan ,$25.70 per hour,US,Data Analyst,"$53,635.90 "
Progilisys Solutions LLC ,$45.00 per hour,US,Data Analyst,"$93,915.00 "
Xoriant Corporation ,$44.68 per hour,US,Data Analyst,"$93,247.16 "
Equity Staffing Group ,$26.98 per hour,US,Data Analyst,"$56,307.26 "
PRI Technology ,$71.08 per hour,US,Data Analyst,"$148,343.96 "
Pro Clinical ,$37.10 per hour,US,Data Analyst,"$77,427.70 "
HireTalent ,$20.91 per hour,US,Data Analyst,"$43,639.17 "
MAMSYS Consulting Services Ltd ,$55.00 per hour,US,Data Analyst,"$114,785.00 "
SystemGuru Inc ,$60.00 per hour,US,Data Analyst,"$125,220.00 "
VForce Infotech ,$25.00 per hour,US,Data Analyst,"$52,175.00 "
Anzu Global ,$26.00 per hour,US,Data Analyst,"$54,262.00 "
"Apollo Professional Solutions, Inc. ",$31.67 per hour,US,Data Analyst,"$66,095.29 "
Oliver James Associates ,$84.05 per hour,US,Data Analyst,"$175,412.35 "
Real Staffing ,$50.92 per hour,US,Data Analyst,"$106,270.04 "
"Apex Sytems, Inc ",$44.85 per hour,US,Data Analyst,"$93,601.95 "
Radiant Inc ,$30.47 per hour,US,Data Analyst,"$63,590.89 "
The Forum Group ,$36.72 per hour,US,Data Analyst,"$76,634.64 "
realsoft inc. ,$21.88 per hour,US,Data Analyst,"$45,663.56 "
Saxon Global Inc ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
Avispa Technology ,$30.85 per hour,US,Data Analyst,"$64,383.95 "
"nTech Solutions, Inc. ",$33.05 per hour,US,Data Analyst,"$68,975.35 "
"Gunther Douglas, Inc. ",$35.24 per hour,US,Data Analyst,"$73,545.88 "
Okaya Inc ,$36.92 per hour,US,Data Analyst,"$77,052.04 "
On-Board Services ,$30.75 per hour,US,Data Analyst,"$64,175.25 "
Saxon global ,$38.13 per hour,US,Data Analyst,"$79,577.31 "
Ampcus Inc ,$26.04 per hour,US,Data Analyst,"$54,345.48 "
"RJT Compuquest, Inc ",$55.34 per hour,US,Data Analyst,"$115,494.58 "
Ansell ,$45.00 per hour,US,Data Analyst,"$93,915.00 "
CORESTAFF Services ,$19.30 per hour,US,Data Analyst,"$40,279.10 "
THEMESOFT ,$52.63 per hour,US,Data Analyst,"$109,838.81 "
Datanomics ,$55.00 per hour,US,Data Analyst,"$114,785.00 "
Technocraft solutions LLc ,$85.00 per hour,US,Data Analyst,"$177,395.00 "
"Infotek Group, LLC ",$52.21 per hour,US,Data Analyst,"$108,962.27 "
Techstar Consulting Inc. ,$47.22 per hour,US,Data Analyst,"$98,548.14 "
"Paladin Consulting, Inc ",$27.27 per hour,US,Data Analyst,"$56,912.49 "
Finezi Inc ,$24.91 per hour,US,Data Analyst,"$51,987.17 "
Synergy Business Consulting ,$20.87 per hour,US,Data Analyst,"$43,555.69 "
"Matlen Silver Group, Inc. ",$49.61 per hour,US,Data Analyst,"$103,536.07 "
Vertex Solutions Inc. ,$55.69 per hour,US,Data Analyst,"$116,225.03 "
iGate Corporation ,$55.29 per hour,US,Data Analyst,"$115,390.23 "
Orgspire Inc ,$40.00 per hour,US,Data Analyst,"$83,480.00 "
Shimento ,$60.00 per hour,US,Data Analyst,"$125,220.00 "
Metropolitan Nashville Public Schools ,$23.12 per hour,US,Data Analyst,"$48,251.44 "
Hcl Global Systems Inc ,$37.96 per hour,US,Data Analyst,"$79,222.52 "
University of New Mexico ,$15.22 per hour,US,Data Analyst,"$31,764.14 "
Genuent ,$26.38 per hour,US,Data Analyst,"$55,055.06 "
"Alphanumeric Systems, Inc. ",$53.49 per hour,US,Data Analyst,"$111,633.63 "
Capital Staffing Solutions ,$25.83 per hour,US,Data Analyst,"$53,907.21 "
Kanand Corporation ,$36.84 per hour,US,Data Analyst,"$76,885.08 "
Kinetix Technology ,$60.98 per hour,US,Data Analyst,"$127,265.26 "
Midcom ,$27.00 per hour,US,Data Analyst,"$56,349.00 "
"client of HR Advantage, Inc. / Contract Agency ",$25.14 per hour,US,Data Analyst,"$52,467.18 "
ProCom Services ,$30.84 per hour,US,Data Analyst,"$64,363.08 "
Workway ,$15.00 per hour,US,Data Analyst,"$31,305.00 "
"Alpha Rae Personnel, Inc. ",$20.91 per hour,US,Data Analyst,"$43,639.17 "
Coworx Staffing ,$20.98 per hour,US,Data Analyst,"$43,785.26 "
NESC Staffing Corp ,$73.36 per hour,US,Data Analyst,"$153,102.32 "
Recruiting Group ,$30.44 per hour,US,Data Analyst,"$63,528.28 "
Outcomes Incorporated ,$47.09 per hour,US,Data Analyst,"$98,276.83 "
ibizteksolutions ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
Acrostaff ,$74.12 per hour,US,Data Analyst,"$154,688.44 "
Invero Group ,$24.88 per hour,US,Data Analyst,"$51,924.56 "
"Pridevel Consulting, Inc ",$14.00 per hour,US,Data Analyst,"$29,218.00 "
Disys LLC ,$50.63 per hour,US,Data Analyst,"$105,664.81 "
"Vastika, Inc. ",$39.85 per hour,US,Data Analyst,"$83,166.95 "
National Computing Group ,$37.47 per hour,US,Data Analyst,"$78,199.89 "
24 Seven ,$27.22 per hour,US,Data Analyst,"$56,808.14 "
Terminal Contacts LLC ,$49.75 per hour,US,Data Analyst,"$103,828.25 "
Akraya Inc. ,$36.00 per hour,US,Data Analyst,"$75,132.00 "
Doherty Staffing Solutions ,$12.73 per hour,US,Data Analyst,"$26,567.51 "
ACT-IT Consulting ,$37.18 per hour,US,Data Analyst,"$77,594.66 "
KRG Technologies Inc ,$19.68 per hour,US,Data Analyst,"$41,072.16 "
Infoway Software ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
NSI AMERICA ,$56.69 per hour,US,Data Analyst,"$118,312.03 "
Georgiait INC ,$54.00 per hour,US,Data Analyst,"$112,698.00 "
Owned Outcomes ,$10.00 per hour,US,Data Analyst,"$20,870.00 "
"Silver Oak Technologies, LLC. ",$45.00 per hour,US,Data Analyst,"$93,915.00 "
Randstad NY ,$28.00 per hour,US,Data Analyst,"$58,436.00 "
Large Global Banking Client ,$45.00 per hour,US,Data Analyst,"$93,915.00 "
Systems America Inc. ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
HKA Enterprises ,$38.12 per hour,US,Data Analyst,"$79,556.44 "
IMS People ,$55.24 per hour,US,Data Analyst,"$115,285.88 "
technocraft ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
Analysts International Corporation (AIC) ,$32.63 per hour,US,Data Analyst,"$68,098.81 "
ComputerPeople ,$39.93 per hour,US,Data Analyst,"$83,333.91 "
Ask IT Consulting ,$80.00 per hour,US,Data Analyst,"$166,960.00 "
GCE Solutions Inc. ,$60.00 per hour,US,Data Analyst,"$125,220.00 "
GTA ,$31.66 per hour,US,Data Analyst,"$66,074.42 "
Rjt Compuquest Inc ,$55.00 per hour,US,Data Analyst,"$114,785.00 "
SoNoted ,$35.00 per hour,US,Data Analyst,"$73,045.00 "
City of Seattle ,$34.21 per hour,US,Data Analyst,"$71,396.27 "
Sunrise Systems Inc ,$35.79 per hour,US,Data Analyst,"$74,693.73 "
Mountain Limited ,$38.83 per hour,US,Data Analyst,"$81,038.21 "
American Cyber System ,$26.95 per hour,US,Data Analyst,"$56,244.65 "
XDuce ,$70.00 per hour,US,Data Analyst,"$146,090.00 "
Saviance Technologies ,$55.00 per hour,US,Data Analyst,"$114,785.00 "
Asset Staffing ,$37.95 per hour,US,Data Analyst,"$79,201.65 "
Wollborg Michelson Recruiting ,$36.15 per hour,US,Data Analyst,"$75,445.05 "
eTeam Inc. ,$20.32 per hour,US,Data Analyst,"$42,407.84 "
Broadcasting company ,$32.00 per hour,US,Data Analyst,"$66,784.00 "
"Xtreme Consulting Group, LLC. ",$67.63 per hour,US,Data Analyst,"$141,143.81 "
Analysts International ,$42.37 per hour,US,Data Analyst,"$88,426.19 "
Kite Ping ,$32.28 per hour,US,Data Analyst,"$67,368.36 "
Agility Staffing ,$14.38 per hour,US,Data Analyst,"$30,011.06 "
"NextGen Information Services, Inc ",$32.15 per hour,US,Data Analyst,"$67,097.05 "
Rangam Consultants Inc. ,$22.79 per hour,US,Data Analyst,"$47,562.73 "
International Programming & Systems ,$27.94 per hour,US,Data Analyst,"$58,310.78 "
Alliance Office Solutions ,$14.85 per hour,US,Data Analyst,"$30,991.95 "
"Envision, LLC ",$49.80 per hour,US,Data Analyst,"$103,932.60 "
Moore Staffing Services ,$18.44 per hour,US,Data Analyst,"$38,484.28 "
Compugain ,$60.00 per hour,US,Data Analyst,"$125,220.00 "
Elwood Staffing ,$16.92 per hour,US,Data Analyst,"$35,312.04 "
Spearhead Staffing ,$41.32 per hour,US,Data Analyst,"$86,234.84 "
"Syndicus, Inc ",$46.49 per hour,US,Data Analyst,"$97,024.63 "
SYSTEMS AMERICA ,$65.00 per hour,US,Data Analyst,"$135,655.00 "
"C.B. HARRIS and Company, Inc ",$100 per hour,US,Data Analyst,"$208,700.00 "
GCB Services LLC ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
TriGlobal Lender Services ,$14.00 per hour,US,Data Analyst,"$29,218.00 "
Odyssey Information Services ,$49.77 per hour,US,Data Analyst,"$103,869.99 "
Technocraftsolutions ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
Monsanto Juana Diaz ,$13.87 per hour,US,Data Analyst,"$28,946.69 "
"CDI, Corporation ",$40.00 per hour,US,Data Analyst,"$83,480.00 "
Monkey Moo Electronic Company ,$19.00 per hour,US,Data Analyst,"$39,653.00 "
Polk County RPO ,$16.66 per hour,US,Data Analyst,"$34,769.42 "
Momentum ,$27.81 per hour,US,Data Analyst,"$58,039.47 "
Brillio ,$40.00 per hour,US,Data Analyst,"$83,480.00 "
"American Cybersystems, Inc. (ACS Group) ",$23.57 per hour,US,Data Analyst,"$49,190.59 "
Alpha Net Technologies Pvt. Ltd. ,$35.00 per hour,US,Data Analyst,"$73,045.00 "
TalentHub Worldwide ,$46.69 per hour,US,Data Analyst,"$97,442.03 "
360 IT Professionals ,$48.96 per hour,US,Data Analyst,"$102,179.52 "
Yasmesoft ,$50.00 per hour,US,Data Analyst,"$104,350.00 "
Etech Resources ,$25.00 per hour,US,Data Analyst,"$52,175.00 "
Nexeo HR Solutions ,$12.10 per hour,US,Data Analyst,"$25,252.70 "
Son Soft Inc ,$47.17 per hour,US,Data Analyst,"$98,443.79 "
Advanced Discovery ,$12.00 per hour,US,Data Analyst,"$25,044.00 "
Finezi ,$63.23 per hour,US,Data Analyst,"$131,961.01 "
"Pathfinders, Inc. ",$13.52 per hour,US,Data Analyst,"$28,216.24 "
NTECH Solutions Inc ,$29.84 per hour,US,Data Analyst,"$62,276.08 "
Dahl Consulting ,$23.85 per hour,US,Data Analyst,"$49,774.95 "
Johnson Service Group Inc ,$40.19 per hour,US,Data Analyst,"$83,876.53 "
Real Soft ,$22.00 per hour,US,Data Analyst,"$45,914.00 "
Talent Bridge ,$31.11 per hour,US,Data Analyst,"$64,926.57 "
Pro Staff ,$16.81 per hour,US,Data Analyst,"$35,082.47 "
MCG Health System ,$45.24 per hour,US,Data Analyst,"$94,415.88 "
Vitamin T ,$31.53 per hour,US,Data Analyst,"$65,803.11 "
IT Pros - Philadelphia ,$15.00 per hour,US,Data Analyst,"$31,305.00 "
Enterprise Logic Inc. ,$36.86 per hour,US,Data Analyst,"$76,926.82 "
NESCO Resource ,$24.77 per hour,US,Data Analyst,"$51,694.99 "
"LoanCraft, LLC ",$12.50 per hour,US,Data Analyst,"$26,087.50 "
"client of HR Advantage, Inc. ",$23.77 per hour,US,Data Analyst,"$49,607.99 "
The Atlantic Group ,$19.63 per hour,US,Data Analyst,"$40,967.81 "
infinite Computer Solution ,$48.77 per hour,US,Data Analyst,"$101,782.99 "
IT Connect US ,$50.56 per hour,US,Data Analyst,"$105,518.72 "
"Techstar Group, Inc ",$38.00 per hour,US,Data Analyst,"$79,306.00 "
Enterprise Level Company ,$43.47 per hour,US,Data Analyst,"$90,721.89 "
Genuent (A willis group company) ,$33.04 per hour,US,Data Analyst,"$68,954.48 "
Faaz Consulting LLC ,$38.57 per hour,US,Data Analyst,"$80,495.59 "
Safety Net Wireless ,$14.00 per hour,US,Data Analyst,"$29,218.00 "
Maxary ,$15.56 per hour,US,Data Analyst,"$32,473.72 "
Kollasoft Inc. ,$53.71 per hour,US,Data Analyst,"$112,092.77 "
HW Staffing ,$20.00 per hour,US,Data Analyst,"$41,740.00 "
Integrated Reporting is Simple (IRIS CRM) ,$25.00 per hour,US,Data Analyst,"$52,175.00 "
4 Thought Energy ,$25.00 per hour,US,Data Analyst,"$52,175.00 "
Dynamic Software Consulting Inc ,$55.00 per hour,US,Data Analyst,"$114,785.00 "
Cosmopolitan Staffing ,$28.98 per hour,US,Data Analyst,"$60,481.26 "
Skill path Talent Inc. ,$22.19 per hour,US,Data Analyst,"$46,310.53 "
Happy Faces Personnel Group ,$18.00 per hour,US,Data Analyst,"$37,566.00 "
Tiger Information Systems Inc ,$30.80 per hour,US,Data Analyst,"$64,279.60 "
"PBP Management Group, Inc. ",$20.00 per hour,US,Data Analyst,"$41,740.00 "
ClipperData LLC ,$11.96 per hour,US,Data Analyst,"$24,960.52 "
KORE1 ,$44.12 per hour,US,Data Analyst,"$92,078.44 "
bigbevy.com ,$46.70 per hour,US,Data Analyst,"$97,462.90 "
"Frink Hamlett Legal Solutions, Inc. ",$32.53 per hour,US,Data Analyst,"$67,890.11 "
SSI ,$31.86 per hour,US,Data Analyst,"$66,491.82 "
Nextgen Technologies Inc ,$49.94 per hour,US,Data Analyst,"$104,224.78 "
AlphaProTemps ,$34.00 per hour,US,Data Analyst,"$70,958.00 "
Efusion Partners LLC ,$25.00 per hour,US,Data Analyst,"$52,175.00 "
Della Infotech Inc ,$28.14 per hour,US,Data Analyst,"$58,728.18 "
Judge Healthcare ,$32.58 per hour,US,Data Analyst,"$67,994.46 "
"Canvas Infotech, Inc. ",$35.41 per hour,US,Data Analyst,"$73,900.67 "
Palmer Group ,$39.75 per hour,US,Data Analyst,"$82,958.25 "
GENEVA CONSULTING GROUP ,$31.41 per hour,US,Data Analyst,"$65,552.67 "
Coley & Associates Inc. ,$17.50 per hour,US,Data Analyst,"$36,522.50 "
KNF&T Staffing Resources ,$33.97 per hour,US,Data Analyst,"$70,895.39 "
HORIZON CONSULTING INC. ,$52.44 per hour,US,Data Analyst,"$109,442.28 "
Computer Futures Solutions ,$30.46 per hour,US,Data Analyst,"$63,570.02 "
